,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
37,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-saveiro-1-6-msi-robust-cs-8v-flex-2p-manual-737886842,vwvolkswagen,39900,passeio,saveiro,manual,2018,0,1.6,flex,hidráulica,azul,sim,0,2 portas,0,"vidro elétrico, trava elétrica, ar condicionado",0
38,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_gol-city-mb-2015-flex-4-portas-719079729,vwvolkswagen,26000,passeio,gol,manual,2015,79148,1,flex,hidráulica,prata,não,gol city 1.0 total flex 12v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",1
39,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fiesta-2013-731607060,ford,27900,sedã,fiesta,manual,2013,80000,1.6,flex,mecnica,preto,sim,fiesta sed. 1.6 8v flex 4p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, c mera de ré",0
40,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-ecosport-1-6-freestyle-16v-719320459,ford,45990,passeio,ecosport,manual,2015,76000,0,flex,0,0,0,ecosport xls freestyle 1.6 flex 8v 5p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica",0
41,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_up-move-2015-730654071,vwvolkswagen,29800,0,up,automático,2015,77000,1,flex,elétrica,preto,0,up  move i motion 1.0 t. flex 12v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré",0
42,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_gol-g6-unico-dono-pouco-rodado-737194651,vwvolkswagen,19900,hatch,gol,manual,2015,43000,1,flex,0,vermelho,sim,gol 1.0 plus 16v 2p,2 portas,ipva pago,som,0
43,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_voyage-1-6-completo-de-tudo-711172136,vwvolkswagen,28425,sedã,voyage,manual,2015,75000,1.6,flex,hidráulica,prata,sim,voyage 1.6 1.6 city  mi total flex 8v 4p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, som",1
44,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-trendline-1-0-carro-completo-documentacao-ok-713506636,vwvolkswagen,24000,hatch,fox,manual,2013,93316,1,flex,hidráulica,branco,não,fox 1.0 mi total flex 8v 3p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
45,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_polo-200-tsi-veiculo-muito-novo-716636125,vwvolkswagen,56800,hatch,polo,automático,2018,26000,0,flex,hidráulica,prata,não,polo comfort. 200 tsi 1.0 flex 12v aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
46,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-up-ma-lindo-barato-urgente-tudo-em-dia-meu-nome-736720131,vwvolkswagen,25000,passeio,up,manual,2015,68000,1,flex,elétrica,vermelho,0,volkswagen up mpi 1.0 12v flex man.,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
47,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fusion-2-0-titanium-awd-16v-gasolina-4p-automatico-694517462,ford,77900,passeio,fusion,automático,2016,46231,2.02.9,flex,hidráulica,preto,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, c mera de ré",0
